Galaxy,DirAll,x2All,x,y
J0021_0052,285,0.42854856309433037,26,27
J0036_3333,284,3.426813225642458,26,29
J0127_0619,261,1.1775888837774477,22,29
J0144_0453,244,1.0259823436850013,23,29
J0337_0502,222,2.182565241677722,24,31
J0405_3648,267,0.5372826040081753,23,30
J0808_3948,140,6.666518631931339,39,35
J0823_2806,173,1.1369093645934731,33,32
J0926_4427,275,0.7126844355311271,24,26
J0934_5514,110,3.3403316593621017,22,35
J0938_5428,40,1.6088760441358692,39,32
J0940_2935,222,0.4699750390712765,22,32
J0942_3547,122,0.5123117850659313,30,35
J0944_0038,208,0.3272429186606452,22,26
J0944_3442,221,0.16211372059998885,23,30
J1016_3754,230,0.39291578788254883,41,33
J1024_0524,222,0.5715251966493753,24,31
J1025_3622,138,0.9146068366367304,37,24
J1044_0353,232,2.931994876393298,27,34
J1105_4444,177,0.7257046178671385,33,23
J1112_5503,157,6.500919815696478,35,24
J1119_5130,231,1.0514364608024525,26,34
J1129_2034,247,1.0364653940929855,23,27
J1132_1411,271,0.4185038958144828,38,37
J1132_5722,126,0.1949426526589607,27,24
J1144_4012,40,2.8763231944400833,39,32
J1148_2546,101,0.5780987612562477,34,37
J1150_1501,228,1.4149150755608177,22,27
J1157_3220,284,0.8074505391020435,26,29
J1200_1343,101,0.3929152486331006,34,37
J1225_6109,247,0.7948833759876145,22,28
J1253_0312,102,1.6507745900170123,32,37
J1314_3452,122,6.305536242031694,30,36
J1323_0132,19,0.8771352714774923,40,28
J1359_5726,137,5.536403083115789,36,24
J1416_1223,154,4.202323209566765,35,30
J1418_2102,126,0.39799605857086306,27,24
J1428_1653,272,0.40916800904465334,27,27
J1429_0643,138,0.7684688324764464,37,24
J1444_4237,266,0.6951265838267887,23,28
J1448_0110,200,0.503680787453528,23,30
J1521_0759,193,0.8858765215163048,32,32
J1525_0757,157,6.30906223831865,35,24
J1545_0858,165,0.22221530537803977,27,27
J1612_0817,157,15.122232206405574,35,24
